# ev x0 y0 z0 xf yf zf 
0 -0.142517 -0.00897335 -0.25 -0.121234 -0.0994572 0.359999
1 0.0607128 -0.110742 -0.25 0.0484601 -0.144173 0.359998
2 -0.166086 -0.0738764 -0.25 -0.137867 -0.0748727 -0.149998
3 -0.120991 0.139583 -0.25 -0.133618 0.10047 -0.149979
4 -0.0174508 0.00145409 -0.25 -0.110217 0.134363 0.359997
5 0.215166 0.0390535 -0.25 0.223743 0.0504142 -0.149996
6 -0.147225 0.14951 -0.25 -0.12338 0.173825 -0.149999
7 -0.121118 0.17143 -0.25 -0.162784 0.157039 -0.149999
8 -0.248626 0.0601427 -0.25 -0.22178 0.0665178 -0.149999
9 -0.00616228 0.195071 -0.25 -0.00228494 0.218827 -0.149976
10 -0.111476 -0.192549 -0.25 -0.0827642 -0.208735 -0.149998
11 -0.159651 0.112378 -0.25 -0.101734 0.197698 -0.15
12 0.0162968 0.219974 -0.25 -0.0191826 0.286207 -0.14998
13 -0.187233 0.0800629 -0.25 -0.187069 0.0893293 -0.183565
14 -0.0527184 -0.18745 -0.25 -0.046337 -0.193843 -0.15
15 -0.221104 0.0547647 -0.25 -0.226054 0.0683452 -0.149999
16 0.0535767 0.089609 -0.25 0.0952912 0.171329 0.5
17 0.194023 0.13749 -0.25 0.250313 0.143739 -0.149999
18 -0.234267 -0.176968 -0.25 -0.221049 -0.167929 -0.149991
19 0.027073 -0.00171823 -0.25 0.18416 0.00769969 0.5
20 0.0744856 -0.00776065 -0.25 0.153202 0.0311924 0.35998
21 -0.212665 0.17726 -0.25 -0.206167 0.190397 -0.149996
22 -0.108251 -0.0837832 -0.25 -0.107821 -0.150276 0.36
23 0.0986905 -0.106877 -0.25 0.110627 -0.136983 0.359956
24 0.22636 -0.157472 -0.25 0.25174 -0.137755 -0.149983
25 -0.161806 -0.135116 -0.25 -0.107896 -0.106977 -0.149991
26 -0.100021 -0.0714575 -0.25 -0.128937 -0.0166315 0.357924
27 0.227261 0.166276 -0.25 0.236499 0.232444 -0.149987
28 -0.101483 -0.209971 -0.25 -0.0627121 -0.215063 -0.149951
29 -0.00366129 0.0957985 -0.25 0.191829 0.0402044 0.359993
30 -0.147421 0.0252349 -0.25 -0.132141 0.000369659 0.359955
31 -0.0994368 0.156156 -0.25 -0.0972461 0.14555 -0.149993
32 -0.135156 -0.155414 -0.25 -0.10509 -0.196614 -0.149999
33 0.0436459 -0.119424 -0.25 0.0685277 -0.110472 0.358706
34 -0.0823825 -0.179281 -0.25 -0.0770104 -0.104788 0.209533
35 0.128858 0.242103 -0.25 0.127786 0.293296 -0.149998
36 0.0629582 0.166193 -0.25 0.0296536 0.174194 -0.149997
37 0.169363 0.204707 -0.25 0.135456 0.197145 -0.149988
38 -0.16759 0.0180539 -0.25 -0.172075 -0.00717489 -0.149997
39 -0.15217 -0.19123 -0.25 -0.13063 -0.15823 -0.149995
40 0.110582 -0.063976 -0.25 0.123706 -0.0938938 0.36
41 -0.0763463 -0.239439 -0.25 -0.0623825 -0.235874 -0.149991
42 0.114566 -0.0990849 -0.25 0.134966 -0.0189331 0.35999
43 0.176837 -0.236917 -0.25 0.219216 -0.273506 -0.149999
44 -0.059056 -0.0768243 -0.25 -0.112131 -0.0996247 0.359999
45 0.108882 0.0435229 -0.25 0.104193 0.0854441 0.359976
46 0.198411 -0.240555 -0.25 0.207405 -0.21213 -0.149999
47 -0.0503215 -0.186746 -0.25 -0.000601172 -0.186009 -0.149999
48 -0.145969 0.243324 -0.25 -0.213332 0.264911 -0.149996
49 -0.0561691 0.0216485 -0.25 -0.0896344 0.083143 0.5
50 -0.185957 -0.177311 -0.25 -0.175346 -0.162955 -0.149982
51 0.0137516 0.127001 -0.25 0.00313659 0.138845 0.359999
52 0.238883 -0.066885 -0.25 0.238502 -0.102616 -0.149988
53 0.0817087 -0.178707 -0.25 0.106692 -0.235867 -0.149996
54 0.201169 0.179539 -0.25 0.217817 0.223782 -0.149992
55 -0.119937 0.061751 -0.25 -0.107011 0.0809299 0.359999
56 -0.134437 0.0537163 -0.25 -0.17757 0.0461566 -0.15
57 0.0723122 0.230129 -0.25 0.0600835 0.196288 -0.149991
58 0.204631 -0.000850789 -0.25 0.249824 0.0352422 -0.149994
59 0.243213 -0.104425 -0.25 0.211644 -0.101311 -0.149999
60 0.172325 0.102095 -0.25 0.165981 0.087208 -0.149994
61 0.189098 0.120736 -0.25 0.204022 0.126758 -0.149998
62 0.11154 -0.111223 -0.25 0.090979 -0.0974984 0.35995
63 0.18399 0.215571 -0.25 0.170466 0.236017 -0.149983
64 -0.117899 -0.122179 -0.25 -0.0755581 -0.10579 0.359346
65 -0.0127808 -0.0538555 -0.25 -0.0214867 -0.0263181 0.5
66 -0.0494901 -0.249029 -0.25 -0.0730375 -0.206652 -0.149997
67 -0.176854 -0.0606075 -0.25 -0.166792 -0.0559932 -0.149993
68 -0.0659141 0.154855 -0.25 -0.026335 0.142991 -0.14999
69 0.0106852 -0.114745 -0.25 0.0644103 -0.121175 0.359996
70 0.0843935 0.140748 -0.25 0.126509 0.147697 -0.149995
71 0.197006 0.199956 -0.25 0.206871 0.163146 -0.15
72 -0.0555359 0.019318 -0.25 -0.162383 -0.0516297 0.5
73 0.180085 -0.100905 -0.25 0.180218 -0.118389 -0.149976
74 -0.231533 0.173298 -0.25 -0.219779 0.144694 -0.149998
75 0.0446709 0.190792 -0.25 0.0481025 0.217525 -0.149999
76 0.0253925 -0.0162308 -0.25 0.153375 0.150047 0.5
77 0.0615277 -0.113068 -0.25 0.0406851 -0.124791 0.359999
78 0.122546 -0.00448236 -0.25 0.128586 0.0191306 0.358868
79 -0.147497 -0.245353 -0.25 -0.131706 -0.259153 -0.149983
80 0.123339 0.0897221 -0.25 0.113679 0.0630635 0.358983
81 -0.0492082 -0.176152 -0.25 -0.0713948 -0.206067 -0.149997
82 0.090693 0.0239378 -0.25 0.0903571 0.1034 0.359966
83 0.0132409 -0.225221 -0.25 0.0312823 -0.232146 -0.149998
84 -0.0712075 -0.226074 -0.25 -0.0921427 -0.236479 -0.149997
85 -0.0899663 -0.236814 -0.25 -0.111928 -0.246379 -0.149993
86 0.164674 -0.14296 -0.25 0.172216 -0.169623 -0.149998
87 0.213142 -0.140862 -0.25 0.186283 -0.124995 -0.149981
88 0.126358 0.143227 -0.25 0.147369 0.111154 -0.149999
89 0.00823345 0.144825 -0.25 -0.0338515 0.125521 0.356922
90 0.0665255 -0.197096 -0.25 0.0800057 -0.242635 -0.149999
91 0.085617 -0.158082 -0.25 0.0745638 -0.138565 -0.149991
92 0.0366736 -0.102855 -0.25 0.00958723 -0.107013 0.5
93 -0.0211498 -0.0907803 -0.25 -0.0133278 -0.060571 0.457346
94 0.142662 0.0813531 -0.25 0.119712 0.0507189 0.354194
95 -0.086133 0.0160008 -0.25 -0.170334 0.0072225 0.359975
96 -0.0789248 0.114659 -0.25 -0.143988 0.211167 0.359999
97 0.0898492 -0.238232 -0.25 0.138448 -0.284136 -0.149993
98 -0.111403 -0.14691 -0.25 -0.0907345 -0.0996029 -0.149994
99 -0.213453 0.0673891 -0.25 -0.18634 0.0192578 -0.149999
100 -0.122984 -0.0534192 -0.25 -0.122669 -0.0430852 0.356418
101 0.080575 -0.20831 -0.25 0.0630042 -0.2114 -0.15
102 0.0536203 0.0437171 -0.25 0.137994 -0.0365844 0.35999
103 -0.0991719 -0.0700221 -0.25 -0.0761952 -0.105331 0.359257
104 -0.0630554 0.159062 -0.25 -0.229011 0.179778 0.5
105 -0.175197 -0.24653 -0.25 -0.180047 -0.276018 -0.149999
106 0.211966 0.16042 -0.25 0.224406 0.165936 -0.149985
107 -0.154612 -0.00136047 -0.25 -0.164954 -0.0137571 -0.149995
108 -0.192436 0.0742383 -0.25 -0.164289 0.0657167 -0.149999
109 0.157859 0.200227 -0.25 0.229019 0.17104 -0.149998
110 -0.0944086 -0.178274 -0.25 -0.105555 -0.167671 -0.149998
111 -0.0337726 0.0766666 -0.25 -0.108883 0.0843161 0.359992
112 0.186385 -0.193923 -0.25 0.140984 -0.252622 -0.149999
113 0.0884348 -0.175018 -0.25 0.0764083 -0.155909 -0.149997
114 -0.0908332 0.124982 -0.25 -0.0772638 0.140542 -0.149995
115 0.142371 0.036183 -0.25 0.141981 -0.00267474 0.359999
116 -0.178437 -0.0270541 -0.25 -0.168624 -0.0457779 -0.149989
117 0.0778732 0.125183 -0.25 0.0224981 0.128041 0.359849
118 -0.233337 0.228701 -0.25 -0.231769 0.248314 -0.149996
119 -0.194839 -0.0463923 -0.25 -0.220906 -0.0474942 -0.149999
120 0.137763 -0.120036 -0.25 0.138362 -0.137246 -0.149988
121 -0.0429222 0.0997287 -0.25 -0.0324516 0.172381 0.359982
122 -0.209617 0.0524659 -0.25 -0.222822 0.0281076 -0.149997
123 -0.151632 -0.152052 -0.25 -0.159163 -0.159833 -0.149994
124 -0.123296 -0.243773 -0.25 -0.17651 -0.242791 -0.149988
125 -0.201826 0.0322956 -0.25 -0.226039 0.0372904 -0.149989
126 -0.172046 0.0144018 -0.25 -0.167258 -0.00244943 -0.149999
127 -0.141038 -0.235661 -0.25 -0.133821 -0.252459 -0.149974
128 0.0704784 0.197397 -0.25 0.0913647 0.189817 -0.149999
129 -0.160679 0.229645 -0.25 -0.148883 0.256178 -0.149998
130 0.072379 0.231691 -0.25 0.0171928 0.236307 -0.149994
131 0.0158282 0.143942 -0.25 0.0406903 0.123468 0.349216
132 -0.0453627 -0.156299 -0.25 -0.000220409 -0.187109 -0.149996
133 0.019125 -0.0286997 -0.25 0.256744 -0.267742 0.5
134 -0.177597 0.074286 -0.25 -0.14124 0.0659469 -0.149997
135 0.174908 0.210165 -0.25 0.212336 0.208436 -0.149992
136 0.20425 -0.118014 -0.25 0.204405 -0.133183 -0.149998
137 0.0598941 0.244633 -0.25 0.0187155 0.4 -0.165671
138 0.184452 0.158262 -0.25 0.202479 0.192692 -0.149999
139 -0.157419 -0.188844 -0.25 -0.131937 -0.193445 -0.149991
140 0.16449 -0.109245 -0.25 0.143925 -0.144949 -0.149992
141 0.0934516 0.242444 -0.25 0.0802864 0.255066 -0.149964
142 0.155157 0.202414 -0.25 0.207245 0.212817 -0.149977
143 -0.243218 -0.0243644 -0.25 -0.267788 -0.0268605 -0.149999
144 0.149811 -0.153897 -0.25 0.174894 -0.19534 -0.149999
145 -0.0447193 -0.02781 -0.25 -0.174829 0.00455248 0.5
146 -0.172205 0.221109 -0.25 -0.168119 0.255035 -0.149989
147 -0.133868 0.0324319 -0.25 -0.149337 -0.0129792 0.359985
148 -0.18519 0.135257 -0.25 -0.20626 0.172722 -0.149994
149 -0.246268 -0.112787 -0.25 -0.326581 -0.111147 -0.149995
150 -0.0404572 0.17864 -0.25 -0.0607512 0.114934 0.35549
151 -0.152622 -0.0862074 -0.25 -0.165975 -0.0742008 -0.149994
152 -0.189374 0.157273 -0.25 -0.236727 0.167422 -0.149944
153 -0.0915742 0.245078 -0.25 -0.151091 0.2687 -0.149991
154 0.0655349 0.00100681 -0.25 0.147501 0.0190443 0.359998
155 -0.193766 -0.0199752 -0.25 -0.2294 -0.0496546 -0.149998
156 0.141762 0.149685 -0.25 0.156033 0.141574 -0.149997
157 -0.0275316 0.0469193 -0.25 -0.0976939 0.0750187 0.5
158 0.102099 -0.0207491 -0.25 0.190802 -0.147578 0.359973
159 -0.227445 0.00191002 -0.25 -0.281011 0.022372 -0.149989
160 0.075354 -0.0221644 -0.25 0.127947 -0.0230175 0.358179
161 0.2241 0.153148 -0.25 0.218975 0.14822 -0.15
162 -0.0510554 -0.159768 -0.25 -0.0456005 -0.17489 -0.149998
163 -0.0644196 0.0137549 -0.25 -0.0131619 -0.126269 0.5
